"Minutes"	"MI"	"SI"
0	0	0
0.0166666666666667	0.00547810463172671	0.000547810463172671
0.0333333333333333	0.0218523992661944	0.00218523992661944
0.05	0.0489434837048465	0.00489434837048465
0.0666666666666667	0.0864545423573991	0.00864545423573991
0.0833333333333333	0.133974596215561	0.0133974596215561
0.1	0.190983005625053	0.0190983005625053
0.116666666666667	0.256855174522606	0.0256855174522606
0.133333333333333	0.330869393641142	0.0330869393641142
0.15	0.412214747707527	0.0412214747707527
0.166666666666667	0.5	0.05
0.183333333333333	0.5932633569242	0.05932633569242
0.2	0.690983005625053	0.0690983005625053
0.216666666666667	0.792088309182241	0.0792088309182241
0.233333333333333	0.895471536732346	0.0895471536732346
0.25	1	0.1
0.266666666666667	1.10452846326765	0.110452846326765
0.283333333333333	1.20791169081776	0.120791169081776
0.3	1.30901699437495	0.130901699437495
0.316666666666667	1.4067366430758	0.14067366430758
0.333333333333333	1.5	0.15
0.35	1.58778525229247	0.158778525229247
0.366666666666667	1.66913060635886	0.166913060635886
0.383333333333333	1.74314482547739	0.174314482547739
0.4	1.80901699437495	0.180901699437495
0.416666666666667	1.86602540378444	0.186602540378444
0.433333333333333	1.9135454576426	0.19135454576426
0.45	1.95105651629515	0.195105651629515
0.466666666666667	1.97814760073381	0.197814760073381
0.483333333333333	1.99452189536827	0.199452189536827
0.5	2	0.2
0.516666666666667	1.99452189536827	0.199452189536827
0.533333333333333	1.97814760073381	0.197814760073381
0.55	1.95105651629515	0.195105651629515
0.566666666666667	1.9135454576426	0.19135454576426
0.583333333333333	1.86602540378444	0.186602540378444
0.6	1.80901699437495	0.180901699437495
0.616666666666667	1.74314482547739	0.174314482547739
0.633333333333333	1.66913060635886	0.166913060635886
0.65	1.58778525229247	0.158778525229247
0.666666666666667	1.5	0.15
0.683333333333333	1.4067366430758	0.14067366430758
0.7	1.30901699437495	0.130901699437495
0.716666666666667	1.20791169081776	0.120791169081776
0.733333333333333	1.10452846326765	0.110452846326765
0.75	1	0.1
0.766666666666667	0.895471536732347	0.0895471536732347
0.783333333333333	0.792088309182241	0.0792088309182241
0.8	0.690983005625053	0.0690983005625053
0.816666666666667	0.5932633569242	0.05932633569242
0.833333333333333	0.500000000000001	0.0500000000000001
0.85	0.412214747707527	0.0412214747707527
0.866666666666667	0.330869393641142	0.0330869393641142
0.883333333333333	0.256855174522606	0.0256855174522606
0.9	0.190983005625053	0.0190983005625053
0.916666666666667	0.133974596215562	0.0133974596215562
0.933333333333333	0.0864545423573995	0.00864545423573995
0.95	0.0489434837048465	0.00489434837048465
0.966666666666667	0.0218523992661944	0.00218523992661944
0.983333333333333	0.00547810463172671	0.000547810463172671
1	0	0
